"",0
0,""
1,"Acacia"
2,"Acacia baileyana"
3,"Acacia cognata"
4,"Acacia dealbata"
5,"Acacia decurrens"
6,"Acacia longifolia"
7,"Acacia melanoxylon"
8,"Acacia stenophylla"
9,"Acer"
10,"Acer buergeranum"
11,"Acer circinatum"
12,"Acer freemanii"
13,"Acer ginnela"
14,"Acer japonicum"
15,"Acer macrophyllum"
16,"Acer palmatum"
17,"Acer platanoides"
18,"Acer pseudoplatanus"
19,"Acer rubrum"
20,"Acer saccharinum"
21,"Aesculus"
22,"Aesculus californica"
23,"Aesculus carnea"
24,"Aesculus hippocastanum"
25,"Afrocarpus gracilior"
26,"Agonis flexuosa"
27,"Ailanthus altissima"
28,"Albizia julibrissin"
29,"Alnus cordata"
30,"Alnus rhombifolia"
31,"Araucaria columnaris"
32,"Araucaria heterophylla"
33,"Arbutus"
34,"Arbutus unedo"
35,"Archontophoenix cunninghamiana"
36,"Arecastrum romanzoffianum"
37,"Azara microphylla"
38,"Banksia integrifolia"
39,"Betula nigra"
40,"Betula pendula"
41,"Brachychiton acerifolius"
42,"Brachychiton populneus"
43,"Brahea aramata"
44,"Brahea edulis"
45,"Butia capitata"
46,"Callistemon citrinus"
47,"Callistemon viminalis"
48,"Calocedrus decurrens"
49,"Carpinus betulus"
50,"Caryota maxima"
51,"Cassia leptophylla"
52,"Castanea dentata"
53,"Casurina stricta"
54,"Ceanothus"
55,"Ceanothus thyrsiflorus"
56,"Cedrus atlantica"
57,"Cedrus atlantica Glauca"
58,"Cedrus deodara"
59,"Celtis australis"
60,"Celtis occidentalis"
61,"Celtis sinensis"
62,"Ceratonia siliqua"
63,"Cercis canadensis"
64,"Cercis occidentalis"
65,"Chamaerops humilis"
66,"Chionanthus retusa"
67,"Chiranthodendron pentadactylon"
68,"Chiranthofremontia lenzii"
69,"Chorisia speciosa"
70,"Cinnamomum camphora"
71,"Citrus"
72,"Citrus aurantifolia"
73,"Citrus hystrix"
74,"Citrus limon"
75,"Citrus meyeri"
76,"Cordyline australis"
77,"Cornus florida"
78,"Cornus nuttallii florida"
79,"Corymbia citriodora"
80,"Corymbia ficifolia"
81,"Corymbia maculata"
82,"Corynocarpus laevigata"
83,"Crataegus laevigata"
84,"Crataegus phaenopyrum"
85,"Crateagus"
86,"Crinodendron patagua"
87,"Cupaniopsis anacardioides"
88,"Cupressus arizonica"
89,"Cupressus macrocarpa"
90,"Cupressus sempervirens"
91,"Diospyros kaki"
92,"Dodonaea viscosa"
93,"Dracaena draco"
94,"Elaeocarpus decipiens"
95,"Eriobotrya deflexa"
96,"Eriobotrya japonica"
97,"Eucalyptus"
98,"Eucalyptus camaldulensis"
99,"Eucalyptus cinerea"
100,"Eucalyptus globulus"
101,"Eucalyptus lehmanni"
102,"Eucalyptus longifolia"
103,"Eucalyptus macarthuri"
104,"Eucalyptus melliodora"
105,"Eucalyptus microtheca"
106,"Eucalyptus nicholii"
107,"Eucalyptus odorata"
108,"Eucalyptus polyanthemos"
109,"Eucalyptus pulverulenta"
110,"Eucalyptus redunca"
111,"Eucalyptus sideroxylon"
112,"Eucalyptus simmondsi"
113,"Eucalyptus torquata"
114,"Eucalyptus viminalis"
115,"Fagus sylvatica"
116,"Ficus"
117,"Ficus carica"
118,"Ficus laurel"
119,"Ficus macrophylla"
120,"Ficus microcarpa"
121,"Ficus microcarpa nitida"
122,"Ficus nitida"
123,"Ficus retusa nitida"
124,"Ficus rubiginosa"
125,"Fraxinus"
126,"Fraxinus Moraine"
127,"Fraxinus americana"
128,"Fraxinus angustifolia"
129,"Fraxinus holotricha"
130,"Fraxinus ornus"
131,"Fraxinus oxycarpa"
132,"Fraxinus uhdei"
133,"Fraxinus velutina"
134,"Fremontodendron"
135,"Garrya elliptica"
136,"Geijera"
137,"Geijera parviflora"
138,"Ginkgo biloba"
139,"Gleditsia triacanthos"
140,"Grevillea"
141,"Grevillea robusta"
142,"Griselinia lucida"
143,"Hakea laurina"
144,"Hakea suaveolens"
145,"Hesperotropsis leylandii"
146,"Heteromeles arbutifolia"
147,"Hymenosporum flavum"
148,"Ilex"
149,"Ilex altaclarensis"
150,"Ilex aquifolium"
151,"Ilex opaca"
152,"Jacaranda mimosifolia"
153,"Jubaea chilensis"
154,"Juglans"
155,"Juglans californica"
156,"Juglans hindsii"
157,"Juglans regia"
158,"Juniperus chinensis"
159,"Juniperus scopulorum"
160,"Koelreuteria bipinnata"
161,"Koelreuteria paniculata"
162,"Lagerstroemia indica"
163,"Lagunaria patersonii"
164,"Laurus"
165,"Laurus nobilis"
166,"Leptospermum laevigatum"
167,"Leptospermum petersonii"
168,"Leptospermum quinquenervia"
169,"Leptospermum scoparium"
170,"Ligustrum japonicum"
171,"Ligustrum lucidum"
172,"Liquidambar formosana"
173,"Liquidambar orientalis"
174,"Liquidambar styraciflua"
175,"Liriodendron tulipifera"
176,"Lithocarpus densiflorus"
177,"Lophostemon confertus"
178,"Lyonothamnus floribundus  asplenifolius"
179,"Magnolia"
180,"Magnolia alba"
181,"Magnolia champaca"
182,"Magnolia doltsopa"
183,"Magnolia foggii"
184,"Magnolia grandiflora"
185,"Magnolia sargentiana"
186,"Magnolia soulangiana"
187,"Malus"
188,"Malus floribunda"
189,"Malus sylvestris"
190,"Maytenus boaria"
191,"Melaleuca"
192,"Melaleuca ericifolia"
193,"Melaleuca leucadendron"
194,"Melaleuca linariifolia"
195,"Melaleuca nesophila"
196,"Melaleuca quinquenervia"
197,"Melaleuca styphelliodes"
198,"Metrosideros excelsa"
199,"Morus alba"
200,"Myoporum laetum"
201,"Myrica californica"
202,"Nerium oleander"
203,"New Zealand Tea Tree"
204,"Nyssa sylvatica"
205,"Olea Majestic Beauty"
206,"Olea europaea"
207,"Palm"
208,"Persea americana"
209,"Persea borbonia"
210,"Phoenix canariensis"
211,"Phoenix dactylifera"
212,"Phoenix roebelenii"
213,"Photinia fraseri"
214,"Picea"
215,"Pinus"
216,"Pinus canariensis"
217,"Pinus halepensis"
218,"Pinus muricata"
219,"Pinus pinaster"
220,"Pinus pinea"
221,"Pinus radiata"
222,"Pinus sylvestris"
223,"Pinus thunbergii"
224,"Pinus torreyana"
225,"Pistacia chinensis"
226,"Pittosporum"
227,"Pittosporum crassifolium"
228,"Pittosporum eugenioides"
229,"Pittosporum rhombifolium"
230,"Pittosporum tenuifolium"
231,"Pittosporum tobira"
232,"Pittosporum undulatum"
233,"Platanus hispanica"
234,"Platanus orientalis"
235,"Platanus racemosa"
236,"Podocarpus gracilor"
237,"Podocarpus henkelii"
238,"Podocarpus macrophyllus"
239,"Populus"
240,"Populus alba"
241,"Populus canadensis"
242,"Populus nigra"
243,"Private shrub"
244,"Privet"
245,"Prunus"
246,"Prunus amygdalus"
247,"Prunus blireiana"
248,"Prunus campanulata"
249,"Prunus cerasifera"
250,"Prunus domestica"
251,"Prunus ilicifoia"
252,"Prunus laurocerasus"
253,"Prunus lyonii"
