"","bloom_period","fall_conspicuous","flower_conspicuous","fruit_period","id","link_st","name","native_status","palatable_human","sc_name_corr","scientific_name","th_height","th_src","th_width","title_st","wildlife_value","corrected","link_eol","title_eol"
0,"spring",0.0,1.0,"",1.0,"https://selectree.calpoly.edu/tree-detail/acacia-subporosa","","False",0.0,"Acacia subporosa","Acacia subporosa","","","","Acacia subporosa",1.0,"","",""
1,"spring, winter",0.0,1.0,"",2.0,"https://selectree.calpoly.edu/tree-detail/acacia-saligna","Acacia","False",0.0,"Acacia","Acacia","","","","Acacia saligna",1.0,"Acacia","http://eol.org/pages/648386/overview","Mulga Tree - Acacia aneura - Overview - Encyclopedia of Life"
2,"",1.0,0.0,"",3.0,"https://selectree.calpoly.edu/tree-detail/Acer-negundo","","True",0.0,"Acer negundo","Acer negundo","","","","Acer negundo",0.0,"Acer negundo","http://eol.org/pages/583069/overview","Boxelder Maple - Acer negundo - Overview - Encyclopedia of Life"
3,"",1.0,0.0,"",4.0,"https://selectree.calpoly.edu/tree-detail/acer-saccharum-nigrum","","False",0.0,"Acer nigrum","Acer nigrum","","","","Acer saccharum subsp. nigrum",1.0,"Acer nigrum","http://eol.org/pages/596825/overview","Sugar Maple - Acer nigrum - Overview - Encyclopedia of Life"
4,"",1.0,0.0,"",6.0,"https://selectree.calpoly.edu/tree-detail/acer-palmatum","Acer palmatum","False",0.0,"Acer palmatum","Acer palmatum","","","","JAPANESE MAPLE Acer palmatum",0.0,"Acer palmatum","http://eol.org/pages/596824/overview","Japanese Maple - Acer palmatum - Overview - Encyclopedia of Life"
5,"",1.0,0.0,"",8.0,"https://selectree.calpoly.edu/tree-detail/acer-paxii","","False",0.0,"Acer paxii","Acer paxii","","","","Acer paxii",0.0,"Acer paxii","http://eol.org/pages/2888996/overview","Acer paxii - Overview - Encyclopedia of Life"
6,"",1.0,0.0,"",9.0,"https://selectree.calpoly.edu/tree-detail/acer-platanoides","Acer platanoides","False",0.0,"Acer platanoides","Acer platanoides","","","","Acer platanoides",1.0,"Acer platanoides","http://eol.org/pages/583070/overview","Norway Maple - Acer platanoides - Overview - Encyclopedia of Life"
7,"",1.0,0.0,"",11.0,"https://selectree.calpoly.edu/tree-detail/acer-rubrum","Acer rubrum","False",0.0,"Acer rubrum","Acer rubrum","","","","RED MAPLE Acer rubrum",0.0,"Acer rubrum","http://eol.org/pages/582246/overview","Red Maple - Acer rubrum - Overview - Encyclopedia of Life"
8,"",1.0,0.0,"",12.0,"https://selectree.calpoly.edu/tree-detail/acer-%C3%97-freemanii-jeffersed","Acer freemanii","False",0.0,"Acer freemanii","Acer xfreemanii","","","","Acer × freemanii 'Jeffersed'",0.0,"","",""
9,"",1.0,0.0,"",14.0,"https://selectree.calpoly.edu/tree-detail/Acer-negundo","Acer","False",0.0,"Acer","Acer","","","","Acer negundo",0.0,"","",""
